id,en,jp,trans
0-chapter_name,,第1章　風の出會い,第1章 與風邂逅
0-synopsis,,騎士としてあるべき姿を理解しつつも抑えきれないカタリナの正義感を垣間見つつ、<span>姬塔</span>一行は街の者に危機を伝える決意を新たにする。 ,雖然明白騎士應該怎樣表現，卡塔莉娜還是無法壓抑自己的正義感。 <span>姬塔</span>一行也因此下定決心要告知人們危機臨近。
0,,――申し訳ない。 ," ——實在抱歉。"
1,,"もういいよ、カタリナ。<br>
あの人達に怒ってたのは、<br>
カタリナだけじゃないもん。 ",好了，卡塔莉娜。對他們感到憤怒的也不止你一個人。
2,,"むしろ、<br>
カタリナが怒ってくれて<br>
すっきりした……ね？　姬塔。 ",倒不如說，卡塔莉娜一發怒，我們也覺得大快人心……是吧？姬塔。
3,,"あのような非道を目の前にすると、<br>
つい熱くなってしまうんだ……",看到那種過分的傢伙，一不小心就頭腦發熱了……
4,,"騎士たるもの、<br>
常に冷靜であろうとは、<br>
思っているのだが……",雖然我一直認為，騎士必須時刻保持冷靜……
5,,"しかし、<br>
とんでもねぇこと聞いちまったな……",不過，這下咱們知道了不得了的事情啊……
6,,"ですね……<br>
帝國が攻めてくるって、<br>
何とかして街の人達に伝えないと……！ ",是啊……一定要告訴城裡的人們，帝國要攻過來了！
7,,"だな！<br>
まずは追ってきてる帝國の兵士を<br>
なんとかしねぇと！ ",是啊！首先得解決掉追來的帝國士兵！
info,,1,scene_cp1_q3_s20
備註,,,ver-1: @煌月夜 2018/4/1
