id,en,jp,trans
0-chapter_name,,第1章　風の出會い,第1章 與風邂逅
0-synopsis,,<span class='scene-font-place'>ザンクティンゼル</span>を発ち、風に導かれるまま新たな島へと流れ著いた<span>姬塔</span>一行。 <span>姬塔</span>の乗ってきた騎空艇は不時著し、大破してしまうが、そこへ現れたひとりの男が<span>姬塔</span>へと助言を與える。 ,姬塔一行人駛離贊克汀澤，乘風到達新的島嶼。騎空艇緊急降落，嚴重損毀，此時一個男人出現，向姬塔他們提出建議。
0,,"<span class='scene-font-place'>ザンクティンゼル</span><span class='scene-font-katari'>を飛び立った一同は</span><br>
<span class='scene-font-katari'>旅の支度を整えるべく、</span><br>
<span class='scene-font-katari'>近隣の島へと向かっていた。 </span>",一行人駛離贊克汀澤，前往附近的島嶼為旅行做準備。
1,,"<span class='scene-font-katari'>しかし、カタリナの不慣れな操縦に、</span><br>
<span class='scene-font-katari'>騎空艇は悲鳴と黒煙を上げ、</span><br>
<span class='scene-font-katari'>急激にその高度を下げていく。 </span>",然而卡塔莉娜並不熟悉操作，騎空艇發出悲鳴，揚起黑煙，高度急劇下降。
2,,"<span class='scene-font-katari'>緑の草原に柔らかな風が遊ぶこの地で</span><br>
<span class='scene-font-katari'>空の果てへと至る、</span><br>
<span class='scene-font-katari'>姬塔の物語が始まりを告げる。 </span>",此地草原碧綠，微風嬉鬧其上。而姬塔駛向天際的故事，就從這裡開始。
5,,"けほっ……<br>
み、みんな無事か？ <br>
ルリアは……？ ",咳咳……大家都沒事吧？露莉亞呢……？
6,,"平気だよ……けほっ。<br>
姬塔は大丈夫ですか？ ",沒關係……咳咳。姬塔還好嗎？
6-sel1_txt,,<span class='scene-font-katari'>なんとか……</span>,還行吧……
6-sel2_txt,,<span class='scene-font-katari'>立てそうにない……</span>,站不起來了……
7,,"よかったぁ……<br>
すごい揺れだったから、<br>
怪我してないか心配で……",太好了……船震得很厲害，好擔心你會受傷……
8,,"伊達に修行はしてないぜ！<br>
だよなっ！　姬塔！ ",姬塔的修行可不是嘴上說說！對吧！姬塔！
9,,"なに言ってんだよ、姬塔！<br>
これくらいで立てなくなるほど、<br>
やわな奴じゃないだろ！ ",說什麼呢，姬塔！你哪有柔弱到這就站不起來啦！
10,,"しっかし……<br>
何がどうなったんだ？ <br>
墜落したのか？　オイラ達。 ",不過……到底怎麼了？我們的騎空艇墜落了？
11,,"面目ない……<br>
騎空艇の操縦が、<br>
まさかここまで難しいとは……",都怪我……我沒想到騎空艇原來這麼難操作……
13,,――おいおいおい、なんだこりゃ？ ," ——喂喂餵，這怎麼回事啊？"
14,,"<span class='scene-font-katari'>一同が乗ってきた艇を見やると、</span><br>
<span class='scene-font-katari'>その傍らには</span><br>
<span class='scene-font-katari'>見知らぬ男が立っていた。 </span>",一行人向騎空艇看去，只見一個陌生的男人站在一旁。
15,,"ったく、ひでぇことしやがるな……<br>
動力部が爆発したのか……？ <br>
うわっ、竜骨も割れてやがる……",你們也真是的，弄得這麼慘……這是傳動系爆炸了……？哇，連龍骨都裂了……
16,,"これじゃもう、どう修理したって<br>
こいつは二度と空には出られねぇぜ？ <br>
なぁ……アンタ達が乗って來たのか？ ",看來這船再怎麼修理都沒辦法飛了吧？我說……這是你們開來的嗎？
17,,そうだが……君は？ ,沒錯……你是？
18,,"なんだ……アンタ達騎空団なのか？<br>
っても、人數を見る限り、<br>
駆け出しってとこか……",什麼啊……你們是騎空團嗎？不過看人數，是剛剛建立的麼……
19,,"騎空団か……いいかもな！<br>
オイラ達で騎空団を、<br>
旗揚げしちまうってのも！ ",騎空團嗎……聽著不錯！咱們建個騎空團不也挺好嘛！
20,,"なぁ、姬塔！<br>
親父さんも<span class='scene-font-spword'>星の島</span>へ行く前は、<br>
騎空団を率いてたって言ってたぜ！ ",嘿，姬塔！你父親在去星之島前，好像就率領著騎空團呢！
21,,"はっ……やめとけやめとけ。<br>
騎空艇を飛ばすには、<br>
特別な技術が必要なんだぞ？ ",哈……你們還是放棄吧。駕駛騎空艇還是需要特殊技能的。
22,,"仮にも騎空団を名乗るってんなら、<br>
操舵士のひとりでも仲間にしてから<br>
名乗るこったな。 ",你們要想建騎空團，至少也要找個操舵士入夥，再給我自稱騎空團。
23,,"<span class='scene-font-katari'>それだけ言い殘すと、</span><br>
<span class='scene-font-katari'>謎の男は姬塔の前から</span><br>
<span class='scene-font-katari'>去って行った。 </span>",說完這些，神秘男子就離開了。
24,,"操舵士か……<br>
確かに、空の旅を続けるのなら<br>
不可欠な人員だな……",操舵士嗎……的確，如果想繼續天空之旅，操舵士是不可或缺的人員。
25,,"っていうか、<br>
何だったんだ？　あいつ。 <br>
言うだけ言ってどっか行きやがって……",話說，那傢伙到底怎麼回事啊？說了一通又自己走了……
26,,"さぁな。<br>
ともかく、いまは街を目指そう。 <br>
そこで旅の支度を整えられるはずだ。 ",誰知道呢。總之，我們現在就向城鎮進發吧。在那裡應該能為旅行做些準備。
info,,1,scene_tutorial_scene_cp1_q1_s10
備註,,,ver-1: @煌月夜 2018/3/30
