id,en,jp,trans
0-chapter_name,,第1章　風の出會い,第1章 與風邂逅
0-synopsis,,街に著いた<span>姬塔</span>一行は操舵士を仲間にすべく、旅の世話をしてくれるよろず屋へと向かう。街の操舵士達は皆出払っているという中、名前の上がったとある男を訪ねるため、アンガド高原を目指す。 ,<span>姬塔</span>一行抵達城鎮，為招募操舵士拜訪旅行助手萬事屋。因為城裡的操舵士大多都已外出，一行人為尋找在冊的男人，向Angads高原前行。
0,,"<span class='scene-font-katari'>姬塔一行は空を渡る手段を求め、</span><br>
<span class='scene-font-katari'>騎空団の旅支度を整えてくれるという</span><br>
<span class='scene-font-katari'>よろず屋に來ていた。 </span>",<span class='scene-font-katari'>姬塔一行為了尋找航行天空的手段，來到能夠為騎空團提供旅行準備的萬事屋。</span>
1,,"いらっしゃ～い！<br>
ご用件はなんですか～？ ",歡迎光臨！有什麼事嗎？
2,,"旅に必要な道具の手配から、<br>
仕事の仲介、騎空士の斡旋まで、<br>
よろず屋シェロちゃんにおまかせ～",無論是安排旅途的必要工具，還是找工作或者物色騎空士，都交給萬事屋榭洛醬吧～
3,,"旅の準備なら、<br>
よろず屋によろ～ず！ <br>
うぷぷぷぷ……",旅行的準備，萬事都交給萬事屋！ 唔呵呵呵呵……
4,,"こんなちっちゃい子なのに<br>
お店を切り盛りしてるなんて……<br>
偉いですね！ ",這麼小的孩子就能妥善經營店鋪了……真了不起！
5,,"ちっちっち～<br>
人を見かけで判斷しちゃいけませんよ～",不行哦〜不要以貌取人〜
6,,"こう見えて、<br>
海千山千百戦練磨の商人なんですから～<br>
甘く見てると痛い目見ちゃいますよ～？ ",別看我這樣，我也是個飽經世故身經百戰的商人吶～太小看我會吃虧哦〜？
7,,"ははは……頼もしいな。<br>
ところで店主、私達は<br>
空を渡る手段が欲しいのだが……",哈哈哈……真是可靠。對了店主，我們想要航行天空的手段……
8,,"密航ですか～？<br>
それならいまキャンペーンが……",是指偷渡嗎～？那現在剛好搞活動呢……
9,,"い、いや、違う！<br>
私達は操舵士を<br>
仲間にしたくてここに來たんだ。 ",不，不是！我們是想找一位操舵士入夥才來的。
10,,"操舵士さんですか～<br>
うーん……殘念ですけど、<br>
出払ってる方がほとんどですね～",操舵士啊……嗯……很遺憾，操舵士基本上都外出了～
11,,"忙しい時期なんで～<br>
腕の良い操舵士は<br>
どこでも引っ張りだこなんですよ～",畢竟是繁忙的時期〜技術好的操舵士大家都搶著要呢〜
12,,"そうなんですか……<br>
どうしよう……",是這樣啊……怎麼辦……
13,,"なぁ、操舵士ってんなら、<br>
あいつがいいんじゃねぇか？ ",我說，他們要找操舵士的話，那傢伙不就行？
14,,"あいつって、ラカムのこと？<br>
確かに腕もいいし、<br>
暇そうにしてたけど……",那傢伙，是說拉卡姆？他的確技術好，也應該很空，可是……
15,,ああ、だってあいつはもう……,也對，那傢伙已經……
16,,"気が変わってるかもしれないだろ！<br>
なぁ、トカゲ、<br>
お前もそう思うよな？ ",萬一他改變主意了呢！嘿，蜥蜴，你也這麼想吧？
17,,"いや、オイラに聞かれても困るぜ……<br>
っていうか、トカゲゆーな！　噛むぞ！ ",不，就算你問咱……話說，不要叫咱蜥蜴！咬你哦！
18,,"ははは、落ち著けビィくん。<br>
怒っていても可愛いぞ？ ",哈哈哈，冷靜點阿碧。生氣的樣子也很可愛哦？
20,,"ううう、うっせー！<br>
それでその、<br>
ラカムって奴はどこにいるんだよ？ ",真、真煩啊！那麼，那個叫拉卡姆的傢伙在哪裡？
21,,"あいつはいつも、<br>
街の外をひとりでぶらぶらしてるよ。 ",他總是在郊外一個人晃悠。
22,,"アンガド高原にある騎空艇の近くだ。<br>
すぐに見つかるとは思うが……<br>
魔物も出る場所だ、用心しろよ。 ",在Angads高原的某艘騎空艇附近。我想你們很容易就能找到……不過那裡有魔獸出沒，要小心點。
23,,"行ってみましょう、姬塔<br>
どんな人か、<br>
まずは會ってみてからです！ ",去找他吧，姬塔。見了才知道他是怎麼樣的人！
info,,1,scene_cp1_q2_s10
備註,,,ver-1: @煌月夜 2018/4/1
