id,en,jp,trans
0-chapter_name,,第1章　風の出會い,第1章 與風邂逅
0-synopsis,,エルステ帝國の兵士達に追い詰められ、絶體絶命の危機に瀕したその時、<span>姬塔</span>達に助言を與えた謎の男が救いの手を差し伸べる。 ,一行人被埃爾斯特帝國士兵逼入絕境，命懸一線，此時那位向<span>姬塔</span>他們提建議的神秘男子伸出了援手。
0,,どうしよう……追い詰められてる！ ,怎麼辦……無處可逃了！
1,,萬事休すといったところか……,這就是所謂的萬事休矣麼……
3,,おい、てめぇら！　こっちだ！ ,餵，你們！走這邊！
4,,あんたは！ ？ ,你是！ ？
5,,"こっちに俺の隠れ家がある！<br>
案內するからついて來い！ ",這邊有我的藏身之地！我帶你們去，趕緊跟上！
8,,"だ、そうだぜ！<br>
姬塔！ <br>
あいつを追おう！ ",聽見了嗎！姬塔！咱們跟他走吧！
10,,<span class='scene-font-4'>逃がすものか！ </span>,<span class='scene-font-4'>你們以為逃得了嗎！ </span>！
info,,1,scene_cp1_q4_s20
備註,,,ver-1: @煌月夜 2018/4/1
