id,en,jp,trans
0-chapter_name,,第1章　風の出會い,第1章 與風邂逅
0-synopsis,,エルステ帝國の一団と交戦する<span>姬塔</span>一行。數の利に押され、<span>姬塔</span>達は苦しい戦いを強いられる。しかし、帝國の將軍が高原の騎空艇を破壊しようとしたその時、空を裂く一撃が將軍を貫いた。 ,<span>姬塔</span>一行與埃爾斯特帝國軍交戰，因人數壓製而陷入苦戰。正當帝國將軍企圖破壞高原上的騎空艇時，空中飛來一擊擊中了他。
2,,むっ？　こ、ここは……,唔？這、這裡是……
3,,"逃げ回ってるうちに、<br>
もとの騎空艇のそばまで、<br>
戻って來ちゃった……",我們逃過來逃過去，又回到騎空艇邊上了……
4,,"あれ！？<br>
なんだい、<br>
戻ってきてくれたの？ ",咦！？什麼啊，你們自己回來了？
5,,"嬉しいなぁ！<br>
君達ってウチの國から、<br>
指名手配を受けてるんだってね！ ",我真高興！貌似你們也在我國的通緝名單上啊！
6,,"將軍サマ、ご機嫌だねぇ～<br>
いいねぇ～<br>
こういう時の彼は嫌いじゃないなぁ～",將軍閣下，心情似乎很好〜真好啊〜我不討厭這樣的他〜
7,,黙れ……立場をわきまえろ。 ,閉嘴……搞清楚自己的立場。
8,,くそっ……しつこい連中だぜ！ ,該死的……一群煩人的傢伙！
9,,"ねぇねぇねぇ！<br>
なんで戻ってきたの？ ",嘿，我問你們啊！為什麼又回來了？
10,,"もしかしてさぁ、<br>
あの艇で逃げようとか思ってた？ <br>
あたり？　ねぇねぇ！ ",難道還想乘著這艘騎空艇逃走？我猜對了？ 快說啊！
11,,"ぎゃははははは！！<br>
こんなボロ艇、飛べるわけねーだろ！ ",啊哈哈哈哈！！這樣的破船，哪可能飛啊！
12,,"やはりあの艇は<br>
飛べる狀態ではないのか……？ ",那艘船果然飛不起來嗎……？
13,,"上手く使えればと、<br>
少しは思っていたが……",我倒是想過，要是它能飛……
14,,"こんな！　こんなボロ艇がさぁ！<br>
空を？　ぎゃははははは！ ！ ",這種！就這種破船！飛上天？啊哈哈哈哈哈！ ！
15,,"あー、でも、いいや、<br>
念には念を入れておこうか。 <br>
おい、誰でもいい、この艇ぶっ壊せ。 ",啊，不過，也罷。我還是長點心吧。餵，誰都行，趕緊把它破壞掉。
16,,"え？　そんな……<br>
そんな大きな傷だって無いし、<br>
修理すればきっと……",哎？怎麼這樣……明明沒什麼嚴重破損，只要修理一下就肯定能……
17,,"飛ばれちゃ困るんだよなぁ！！<br>
おい！　誰か早く……",要是能飛，我可就頭疼了！！餵！趕緊來人……
20,,<span class='scene-font-5'>ふぎゃっ！ ？ </span>,<span class='scene-font-5'>嗚哇！ ？ </span>
23,,"ったく、<br>
ボロだとかなんだとか、<br>
好き勝手言いやがって……",真是的，什麼破船啊飛不起來啊的，還真敢說……
24,,"おい、そこのチビ！<br>
俺の艇になにしようとしやがる！ ！ ",餵，那邊的矮子！你對我的船做什麼！ ！
25,,"おい、あいつ！<br>
不時著したオイラ達に、<br>
色々言って去ってった奴じゃねーか！ ？ ",餵，那傢伙不是咱們緊急降落的時候對我們說了很多又走掉的人嘛！？
28,,"なんだ貴様は！<br>
貴様、こいつらの仲間か！ ？ ",你是誰！是這些人的同夥！？
29,,"は？<br>
いやいやいやいや、え？　なに？ <br>
どういうこと？ ",啊？不不不不，嗯？啥？發生了什麼？
30,,問答無用だ！　ひっ捕らえろ！ ,不用狡辯！抓住他！
31,,"マズイぞ！<br>
あの男も追われている！ ",糟了！那個男人也要被追捕了！
32,,"ってもオイラ達も逃げねーと！<br>
今度こそ、<br>
道に迷ってる餘裕はねーぞ！ ",但是咱們也得跑了啊！這次可不能迷路了！
info,,1,scene_cp1_q4_s10
備註,,,ver-1: @煌月夜 2018/4/1
