id,en,jp,trans
0-chapter_name,,第1章　風の出會い,第1章 與風邂逅
0-synopsis,,街に向かう道中、<span>姬塔</span>一行はカタリナの知識を借りて、自分達の置かれている狀況や、今後の旅に必要なものを整理する。 ,在去往城鎮的路上，姬塔一行人依靠卡塔莉娜的學識，整理了他們的現狀與今後旅途的需求。
1,,"街が見えてきたぜ！<br>
結構デカい街だな！ ",看到城鎮了！還挺大的呢！
2,,"風に流されてきたことを考えると、<br>
ここは<span class='scene-font-place'>ポート・ブリーズ群島</span>の主島、<br>
エインガナ島だろう。 ",考慮到我們是順風而來的，這里大概是微風港群島的主島，艾因加納島。
3,,"この群島は交易が盛んなんだ。<br>
街まで行けば、<br>
手に入らないものはないだろうな。 ",這裡貿易發達，只要去了城裡，就沒什麼買不到的。
4,,"ねぇねぇ、カタリナ<br>
お空の旅って、なにが必要なのかな？ ",吶吶，卡塔莉娜，我們的天空之旅到底需要什麼呢？
5,,"そうだな……<br>
まず私達は、兎にも角にも、<br>
瘴流域を突破しなければならない。 ",我想想……總之，我們肯定要突破瘴流域。
6,,"あ！　知ってる！　それ！<br>
えーっと……なんだか怖いものが、<br>
ズバーンって空を區切ってるんだよね？ ",哦！我知道！瘴流域！嗯……好像是很恐怖的東西，把天空分割成幾片了吧？
7,,"その通りだ。<br>
瘴気の満ちる一帯、瘴流域が、<br>
世界をいくつかの空域に分斷している。 ",沒錯。一個充滿瘴氣的流域，即瘴流域，將世界分為幾個空域。
8,,"ここ<span class='scene-font-place'>ポート・ブリーズ群島</span>を含む空域は<br>
ファータ・グランデ空域と呼ばれ……<br>
<span class='scene-font-place'>エルステ帝國</span>の勢力圏でもある。 ",包括微風港群島在內的空域被稱為法塔格蘭德空域……它也是埃爾斯特帝國的勢力範圍。
9,,"私の講義をちゃんと聞いていたんだな。<br>
偉いぞ、ルリア。 ",你有聽我講課呢，了不起啊，露莉亞
10,,"えへへ～！<br>
ねぇねぇ、トカゲさん！ <br>
私、褒められちゃいました！ ",哎嘿嘿～！你聽，小蜥蜴！卡塔莉娜誇我了！
11,,"だからオイラは、<br>
トカゲじゃねーっつの！ ",所以說，咱不是蜥蜴！
12,,"それで？<br>
その瘴流域を突破するには、<br>
いったい何が必要だってんだ？ ",於是呢？突破瘴流域需要什麼呢？
13,,"大きく分けて、ふたつ。<br>
移動手段と、<span class='scene-font-spword'>空図</span>だ。 ",大致需要兩種東西。交通工具和空圖。
14,,"移動手段とは主に騎空艇のことだな。<br>
しかし、素人の操縦では<br>
非常に危険だと身に染みてわかった……",交通工具主要就是騎空艇吧。不過，我們也切身體會到了，由外行人操作實在是太危險了……
15,,"あんな不時著してちゃぁ、<br>
命がいくつあっても足りないもんな……",要是一直這樣緊急降落，有幾條命都不夠啊……
16,,"ああ、だから私達は<br>
騎空艇の操縦を生業とする者……<br>
操舵士を仲間にする必要がある。 ",是啊，所以我們需要一個職業操作騎空艇的人……也就是操舵士來加入我們。
17,,"そして、<br>
その騎空艇で進むべき、<br>
航路を記したもの……それが<span class='scene-font-spword'>空図</span>だ。 ",以及標記有騎空艇航線的東西……也就是空圖。
18,,それがあれば、瘴流域を抜けられるの？ ,有了這個就能穿越瘴流域嗎？
19,,"むしろ、<span class='scene-font-spword'>空図</span>無しで瘴流域に挑むのは<br>
自殺行為に等しい。 <br>
……一握りの化物を除いて、な。 ",不如說，沒有空圖就挑戰瘴流域，那簡直就是自殺行為……除了一小撮怪物。
20,,"けどよぅ、<span class='scene-font-spword'>空図</span>はバラバラになってて、<br>
各島の守護神みたいな<br>
大星晶獣が持ってるんだろ？ ",但是，空圖不是分散在各地，在守護各個島嶼的星晶獸手中嗎？
21,,"そう言われているな……<br>
まぁ、要するに私達は、<br>
前途多難極まりないわけだ……",聽說是這樣……嗨，不管怎麼樣，我們的前路都很曲折啊。
22,,グオォォ！ ,咕哦哦哦！
23,,"っと、出やがったぜ！　魔物だ！<br>
長い道のりになるのは間違いねぇが、<br>
まずは目の前の敵から片付けねぇとな！ ",噢，魔獸還是出現了！路還很長是沒錯，但首先要解決眼前的敵人！
info,,1,scene_cp1_q1_s20
備註,,,ver-1: @煌月夜 2018/3/30
