id,name,text,trans
0-synopsis,,謎の少女、ルリアを追って、ふたりの軍人が姿を現す。女騎士であるカタリナはルリアを守ろうとするが、ポンメルン大尉は少年もろともルリアに危害を加えようとする。 ,兩個追著神秘少女露莉亞的軍人出現。女騎士卡塔莉娜想要保護露莉亞，而伯梅倫上尉卻想加害少年和露莉亞。
1-synopsis,,謎の少女、ルリアを追って、ふたりの軍人が姿を現す。女騎士であるカタリナはルリアを守ろうとするが、ポンメルン大尉は少女もろともルリアに危害を加えようとする。 ,兩個追著神秘少女露莉亞的軍人出現。女騎士卡塔莉娜想要保護露莉亞，而伯梅倫上尉卻想加害少女和露莉亞。
2,帝國兵/帝國士兵,ぐは……ッ！ <br>ガキのくせに、コイツ……！ ,唔啊……！這傢伙、明明是個小鬼……！
3,,…………,
5,ビィ/碧,どうだッ！ <br>さっすがだぜぇ～！ <br>惚れ惚れする剣の腕だなぁ！ ,怎麼樣！真不愧是你！劍法看得咱都入迷了！
6,帝國兵/帝國士兵,クソッ……<br>このままで済むと思うな……！ ,可惡……別以為這就完了……！
9,ビィ/碧,仲間か！ ？ <br>注意しろぉ！ ,還有同夥嗎！ ？小心點！
11,女騎士/女騎士,<span class='scene-font-4'>――ルリアッ！　無事か！ ？ </span>,<span class='scene-font-4'>——露莉亞！　你沒事吧！ ？ </span>
12,謎の少女/神秘少女,カタリナ！ <br>私……私……,卡塔莉娜！我……我……
13,女騎士/女騎士,怪我はないようだな。 <br>君達がルリアを守ってくれたのか？ ,好像沒受傷呢。是你們保護了露莉亞嗎？
14,謎の少女/神秘少女,カタリナ！ <br>私……私……,卡塔莉娜！我……我……
15,女騎士/女騎士,怪我はないようだな。 <br>君達がルリアを守ってくれたのか？ ,好像沒受傷呢。是你們保護了露莉亞嗎？
16,ビィ/碧,守るっつーか、なぁ？ <br>あの兵士達、オイラ達のことも、<br>狙ってくるもんだから……,與其說我們保護了她……那些士兵，都已經朝我們進攻了……
17,謎の少女/神秘少女,あのね、あのね！ <br>あの人、私を助けてくれて……<br>すっごくカッコ良かったんだよ！ ,聽我說，聽我說！那個人救了我……超帥氣的！
18,女騎士/女騎士,そうか……<br>とにかく、無事で良かった。 ,是嗎……總之你沒事就好。
19,ビィ/碧,んと、それでよぅ……<br>アンタらは一體なんなんだ？ ,於是，那個啥……你們到底是？
20,ビィ/碧,さっきのヤツらの<br>仲間ってワケじゃあ<br>なさそうだけどよ。 ,好像和剛才那些人又不是一伙的。
21,カタリナ/卡塔莉娜,失禮した。 <br>私は、カタリナ・アリゼと言う。 ,失禮了。我叫卡塔莉娜·亞利澤。
22,カタリナ/卡塔莉娜,この子はルリア。 <br>助けてくれて感謝する。 <br>私からも禮を言わせてくれ。 ,她叫露莉亞。謝謝你們救了她。我也要向你們道謝。
23,カタリナ/卡塔莉娜,君も……<br>よかったら名前を教えてくれないか。 ,可以的話……也告訴我你叫什麼名字吧。
24,ビィ/碧,オイラはビィってんだ！ <br>で、二人はどっから來たんだ？ <br>あの兵士に追われてんのか？ ,咱是阿碧！那你們是從哪兒來的？那些士兵在追你們嗎？
25,ルリア/露莉亞,ど、どこから？ <br>ええと……,從、從哪兒來的？嗯……
26,カタリナ/卡塔莉娜,…………<br>そうだ、追われている。 ,…………沒錯，他們在追捕我們。
27,カタリナ/卡塔莉娜,なので、ここは危険だ。 <br>またあの兵士達が來るだろう。 <br>君達は早く――,所以，這裡很危險。應該還會有士兵追來吧。你們也趕緊——
28,？ ？ ？ ,<span class='scene-font-4'>カタリナ中尉ィ！ </span>,<span class='scene-font-4'>卡塔莉娜中尉！ </span>
30,？ ？ ？ ,なぁ～にをこんなところで<br>道草を食ってるんですかネェ？ <br>中尉ともあろう者が単獨行動ですカ？ ,你在這種地方閒逛什麼？你一個中尉，還單獨行動？
31,カタリナ/卡塔莉娜,ポンメルン大尉……！ <br>も、申し訳ありません。 <br>ただちにルリアの保護を……,伯梅倫上尉……！十、十分抱歉。我這就帶露莉亞回去……
32,ポンメルン/伯梅倫,まったく白々しいですネェ！ <br>少女を逃がしたのは貴女でしょうゥ？ ,還真敢厚著臉皮說話！放她逃走的，不就是你嗎？
33,ポンメルン/伯梅倫,偉大なるエルステ帝國に<br>楯突こうだなんて、いい度胸ですネェ！ ,竟敢反抗偉大的埃爾斯特帝國，好大的膽子！
34,カタリナ/卡塔莉娜,…………,
35,ポンメルン/伯梅倫,機密の少女の観察役を賜っておきながら<br>この仕打ち！ <br>宰相閣下がどれだけ失望なさるか……,宰相閣下親自指派你來觀察機密少女，你卻搞出這種名堂！她該多失望啊……
36,ポンメルン/伯梅倫,貴女なら事の重大さを<br>理解しているハズですネェ！ ？ ,你應該明白事情的重要性吧！ ？
37,ポンメルン/伯梅倫,星晶獣を制御するために<br>その少女は必要不可欠ですからネェ！ <br>……背任は重罪ですよォ？ ,為了駕馭星晶獸，那少女是必不可少的！ ……瀆職可是重罪啊！ ？
38,カタリナ/卡塔莉娜,大尉……星晶獣を私達人間が、<br>それも軍事にその力を利用しようと<br>いうのは危険すぎるかと……,上尉……我認為我們人類去駕馭星晶獸，而且還是軍事用途，有些過於危險了……
39,カタリナ/卡塔莉娜,星晶獣は<span class='scene-font-spword'>星の民</span>の遺産……<br>かつての大戦で空を焼いた<br>恐ろしい兵器です。 ,星晶獸是<span class='scene-font-spword'>星之民</span>的遺產……曾在大戰中使天空焦灼，是非常可怕的武器。
40,カタリナ/卡塔莉娜,その力や正體は<br>まだわからないことも多く、<br>人の手で制御するには――,其力量的來源還疑點重重，這樣草率地由人去駕馭——
41,ポンメルン/伯梅倫,話題をすり替えないでほしいですネェ！ ,別想轉移話題！
42,ポンメルン/伯梅倫,まったく……これ以上くだらない事に<br>時間を費やしたくありませんネェ。 <br>てっとり早くやるとしますかネェ……,真是的……我不想再在這種無聊的事情上浪費時間了。還是乾脆一點吧……
43,ポンメルン/伯梅倫,クッククク……ここほどの辺境なら<br>村ごと消し去ってしまえば<br>足がつくことはありませんからネェ！ ,哼哼哼哼……把這種邊境上的村子整個滅了，想必也不會留下蛛絲馬跡！
44,ビィ/碧,んだとぉ……！ ？ ,你說什麼……！ ？
45,ポンメルン/伯梅倫,邪魔者は排除するのみィィ！ <br>星晶獣を従える力は<br>帝國のものなのですからネェ！ ,礙事的傢伙全部除掉！能夠制服星晶獸的力量是屬於帝國的！
46,ポンメルン/伯梅倫,<span class='scene-font-4'>ヒドラを出しなさいィィィ！ </span>,<span class='scene-font-4'>放海德拉出來！ </span>
48,帝國兵/帝國士兵,<span class='scene-font-4'>はっ！ </span>,<span class='scene-font-4'>是！ </span>
51,カタリナ/卡塔莉娜,ヒドラ……？ <br>まさか！ ,海德拉……？難道是！
52,ポンメルン/伯梅倫,そのまさかですよォ、中尉ィ！ <br>貴女にもちゃあんと<br>責任をとってもらいますからネェ！ ,不錯，就是你想的那樣啊中尉！你也給我擔起責任！
53,帝國兵/帝國士兵,ヒドラを使う！ <br>散開して後方に陣を張れ！ ,使用海德拉！人員散開，在後方維持陣型！
58,ヒドラ/海德拉,"<span class='scene-font-4'>グオオォォッ！！</span> ",<span class='scene-font-4'>咕哦哦哦哦哦！ ！ </span>
59,ビィ/碧,こんな化け物どこから……！ ？ <br>あのヒゲのおっさんが<br>連れてきたってのかぁ！ ？ ,這怪物從哪兒來的……！ ？是那鬍子大叔牽來的！ ？
60,ルリア/露莉亞,カタリナ……！ ,卡塔莉娜……！
61,カタリナ/卡塔莉娜,本當に……<br>この島ごと焼き払うつもりか。 ,你真的打算……把整座島都燒光嗎。
62,カタリナ/卡塔莉娜,そこまでしてルリアの力を<br>利用しようというのか！ ？　帝國は！ ,帝國可以為了得到露莉亞的力量做出這種事嗎！ ？
63,ポンメルン/伯梅倫,だからそうだと言っているでしょう。 <br>帝國が全空の支配者となるための<br>礎として必要なのですからネェ。 ,我不已經說了麼。這是帝國支配全空的基礎啊。
64,ポンメルン/伯梅倫,その研究の一環として、<br>この島にある<br>星晶の祠を探しにきたわけですが……,原本是作為研究的一環，來尋找這座島嶼上的星晶祠……
65,ポンメルン/伯梅倫,まさかそれに乗じて脫走を図るなど<br>出鼻をくじかれた気分ですよォ！ ,沒想到你們企圖趁機逃跑，把我的計劃全打亂了！
66,ルリア/露莉亞,カタリナ……<br>ごめんなさい、私がわがままを<br>言ったせいでこんなことに……,卡塔莉娜……對不起，都怪我提出任性的要求，現在事情變成這樣……
67,カタリナ/卡塔莉娜,ルリア。 <br>外の世界を見せると約束したんだ。 <br>必ず約束は守ってみせるよ。 ,露莉亞。我和你約定過，要讓你看看外面的世界。我絕對會遵守約定的。
68,ヒドラ/海德拉,<span class='scene-font-4'>グルルルゥゥ！ ！ </span>,<span class='scene-font-4'>咕嗚嗚嗚嗚嗚！ ！ </span>
71,ビィ/碧,オイオイ……<br>やるってのか、アイツと！ ？ ,喂喂……要和那傢伙戰鬥嗎！ ？
71-sel1_txt,,<span class='scene-font-katari'>助けなきゃ！ </span>,<span class='scene-font-katari'>得救她們啊！ </span>
71-sel2_txt,,<span class='scene-font-katari'>やるしかない！ </span>,<span class='scene-font-katari'>也只有上了！ </span>
72,ポンメルン/伯梅倫,フン……！ <br>どいつもこいつも、現実ってものが<br>見えてないようですネェ……,哼……！看來你們幾個，都看不見所謂的現實啊……
73,ポンメルン/伯梅倫,<span class='scene-font-4'>ヒドラァァ！ </span><br><span class='scene-font-4'>まずはそこのガキからだ！ </span>,<span class='scene-font-4'>海德拉！先從這個小鬼下手！ </span>
74,ポンメルン/伯梅倫,<span class='scene-font-4'>血祭りにあげて</span><br><span class='scene-font-4'>差し上げなさいィ！ </span>,<span class='scene-font-4'>把他們都給我血祭了！ </span>
75,ヒドラ/海德拉,<span class='scene-font-4'>グルルオオォォ！ ！ </span>,<span class='scene-font-4'>咕嗚哦哦哦哦！ ！ </span>
90,,っ――……,啊——……
91,ビィ/碧,なッ！ ？ <br>おい！　<span class='nickname'></span>！ <br>し、しっかりしろよ、おい！ ,什麼！ ？餵！ <span class='nickname'></span>！你、你振作點啊、餵！
92,ポンメルン/伯梅倫,ククククッ！ <br>なんとあっけないィィ……！ ,哼哼哼哼！真是無趣……！
93,カタリナ/卡塔莉娜,み、民間人、それも子供を……<br>ポンメルン！ <br>貴様、どこまで腐った！ ？ ,你竟然殺害普通人、還是個孩子……伯梅倫！你竟然墮落至此！
94,ビィ/碧,なぁ、<span class='nickname'></span>！ <br>う、噓だろ？　冗談だよな？ <br>返事しろよ、なぁ！　おい！ ,餵、<span class='nickname'></span>！騙、騙人的吧？假的吧？快說話啊、餵！餵！
96,ルリア/露莉亞,……だい……じょうぶ、だから。 ,……沒事……沒關係的。
97,ポンメルン/伯梅倫,この光は……！ ？ ,這光芒是……！ ？
98,ビィ/碧,村の祠の星晶が……反応してやがる。 <br>この嬢ちゃん……！ ,村里祠堂的星晶……有了反應。這女孩……！
99,ポンメルン/伯梅倫,ほう……！ <br>これが例の祠だったわけですネェ……,哦……？這就是那個祠堂……
100,ポンメルン/伯梅倫,し、しかし……<br>これはいったいィィ……！ ？ ,可、可是……這究竟……！ ？
101,ルリア/露莉亞,大丈夫……,沒事的……
102,ルリア/露莉亞,<span class='nickname'></span>……<br>私の力……あなたに預けます……！ ,<span class='nickname'></span>……我將我的力量，傳給你……！
info,,,scene_tutorial01
