id,name,text,trans
0-synopsis,,父親の殘した手紙に導かれ、空の果てへと旅立とうとする少年。しかし、時を同じくして村には戦艦が現れ、謎の少女が助けを求めてくる。 ,少年在父親留言的指引下，決定踏上前往天際的旅途。但與此同時，村里出現了一艘戰艦，一位神秘少女向他尋求幫助。
1-synopsis,,父親の殘した手紙に導かれ、空の果てへと旅立とうとする少女。しかし、時を同じくして村には戦艦が現れ、謎の少女が助けを求めてくる。 ,少女在父親留言的指引下，決定踏上前往天際的旅途。但與此同時，村里出現了一艘戰艦，一位神秘少女向他尋求幫助。
2,,<span class='scene-font-katari'>――神に見捨てられたその世界には、</span><br><span class='scene-font-katari'>一つの竜の姿があった。 </span>,<span class='scene-font-katari'>——在被神遺棄的世界裡，</span><br><span class='scene-font-katari'>有一條龍的身影。 </span>
3,,<span class='scene-font-katari'>破壊による創造を司る竜、バハムートは</span><br><span class='scene-font-katari'>己が使命に従い、殘された世界を</span><br><span class='scene-font-katari'>より芳醇なものへと進化させた。 </span>,<span class='scene-font-katari'>其名巴哈姆特，司掌由破滅帶來的創造。它貫徹自己的使命，使被拋棄的世界變得更為芳醇。 </span>
5,,<span class='scene-font-katari'>しかしそこへ、侵略者が現れる。 </span><br><span class='scene-font-katari'>空の果て、彼方の世界より現れた彼らは、</span><br><span class='scene-font-spword' >星の民</span><span class='scene-font-katari'>と呼ばれた。 </span>,<span class='scene-font-katari'>然而，侵略者出現了。從遠在天邊的他界而來，他們被稱為星之民。 </span>
6,,<span class='scene-font-spword'>星の民</span><span class='scene-font-katari'>は星の獣、星晶獣を使い、</span>< br><span class='scene-font-katari'>瞬く間に世界を手中に収め、</span><br><span class='scene-font-katari'>空は長らく星のものとなった。 </span>,<span class='scene-font-spword'>星之民</span><span class='scene-font-katari'>使用星晶獸，眨眼間征服了世界，長久以來將天空佔為己有。 </span>
7,,<span class='scene-font-katari'>しかし、空の民は學び、</span><br><span class='scene-font-katari'>やがて驕る星より世界を取り戻す。 </span><br><span class='scene-font-katari'>後にその爭いは覇空戦爭と呼ばれた――</span>,<span class='scene-font-katari'>然而，空之民亦在成長，終於從傲慢的星之民手中奪回了世界。日後，人們稱之為霸空戰爭。 </span>
14,,<span class='scene-font-katari'>ここは、未完の大地が雲海を漂う</span><br><span class='scene-font-katari'>神に見捨てられし「空の世界」。 </span>,<span class='scene-font-katari'>此處，未完成的大地浮蕩於雲海。遭神遺棄的“天空世界”。 </span>
18,,<span class='scene-font-katari'>いま始まる</span><br><span class='scene-font-katari'>空と星を巡る新たな物語。 </span><br><span class='scene-font-katari'>遙かなる旅路、その門出に祝福を――</span>,<span class='scene-font-katari'>現在，空與星的故事開啟新的篇章。前路漫漫，當為其啟程獻上祝福——</span>
24,ビィ/碧,――なぁなぁ。 <br>オマエ、本當に<br>村を出るつもりなのかぁ？ ,——我說我說。你真的打算離開村子？
25,ビィ/碧,いくら親父さんの手紙にあったからって<br>空の果てなんて、<br>そんな場所、辿りつけるわけ……,就算是你父親留下的信提到了天空的彼方，可那種地方怎麼到得了……
25-sel1_txt,,<span class='scene-font-katari'>きっと辿りつける</span>,<span class='scene-font-katari'>肯定能抵達</span>
25-sel2_txt,,<span class='scene-font-katari'>ちゃんと計畫がある</span>,<span class='scene-font-katari'>我有計劃</span>
26,ビィ/碧,ああ……<span class='scene-font-spword'>完全なる空図</span>か？ <br>あの何百年も前に、<br><span class='scene-font-spword'>星の民</span>が記したっていう……,啊……你說<span class='scene -font-spword'>完整的空圖</span>？據說是幾百年前<br><span class='scene-font-spword'>星之民</span>繪製的那個……
27,ビィ/碧,そりゃあ、それがあれば、どこだって<br>行けるかもしれねーけどよぉ。 <br>あんなもの、おとぎ話だぜ？ ,要是真有那東西，肯定哪兒都能去啦。可那不只是個傳說嗎？
28,ビィ/碧,ま、言い出したら聞かないしなぁ。 <br>こんな村でひっそり暮らしてるよりかは<br>全然面白そうだけどさ！　へへ。 ,不過，你既然都提出來了，肯定不聽勸了。比起生活在這小村子裡，肯定是那樣有趣呀！嘿嘿。
30,ビィ/碧,ん……？ <br>ま、待てまてまて！ <br>なんだよ、ありゃあ！ ？ ,嗯……？餵、等一下，等一下！那，那是什麼！ ？
32,ビィ/碧,ありゃあ……どっかの國の戦艦か！ ？ <br>なんだってこんなド田舎に！ ,那東西……是別國的戰艦嗎！ ？怎麼在咱這個荒僻的小村子裡！
37,ビィ/碧,んなっ！ ？　な、なんだぁ！ ？ <br>いまなんか爆発したぞ！ ,什！ ？怎麼了！ ？它剛剛爆炸了！
40,,──……,——……
40-sel1_txt,,<span class='scene-font-katari'>いま、何か光った……</span>,<span class='scene-font-katari'>剛才，有什麼發光了…… </span>
41,ビィ/碧,なんだって？ <br>火ぃついた軍艦の部品かなんかか？ ,什麼？難道是軍艦掉下的碎片著火了之類的？
42,ビィ/碧,それ……<br>もし燃えたまんま<br>森に落ちたんだとしたら……,要是那東西……還在燃燒就掉進森林的話……
42-sel1_txt,,<span class='scene-font-katari'>確かめよう！ </span>,<span class='scene-font-katari'>我們去看看！ </span>
50,ビィ/碧,軍艦から何か落ちたんなら、<br>たぶん、この辺に……,如果軍艦掉了什麼東西下來，那大概，在這附近……
53,？ ？ ？ ,<span class='scene-font-4'>きゃあ！ </span>,<span class='scene-font-4'>呀啊！ </span>
55,謎の少女/神秘少女,いたた……,好痛……
56,謎の少女/神秘少女,…………！ ,…………！
57,ビィ/碧,な、なんだこの嬢ちゃん。 <br>見た事ない顔だな……,這個女孩是怎麼了？沒見過她呢……
